model,MAE,RMSE,MAPE
XGB_w168_sid_wx,155.38995361328125,282.66071202945767,692520832.0
GRU_w168_sid_wx,284.1579895019531,487.88656148227733,91518976.0
Naive_LastValue,378.74410582613376,707.9962733606038,266862893.91666302
LSTM_w168_sid_wx,421.63458251953125,774.9170520126654,97734472.0
Naive_LastWeek,378.96223406183174,967.5173597209063,3492838259.51211
