fold,model,train_start,train_end,test_start,test_days,MAE,RMSE,MAPE
1,XGB,2024-10-11,2024-12-10,2024-12-10,7,129.09669494628906,213.92870818920025,258040480.0
1,GRU,2024-10-11,2024-12-10,2024-12-10,7,486.69927978515625,791.985124544647,52196776.0
2,XGB,2024-10-18,2024-12-17,2024-12-17,7,169.5340118408203,365.2416794055684,680334720.0
2,GRU,2024-10-18,2024-12-17,2024-12-17,7,438.6788330078125,748.3679325706039,460584640.0
3,XGB,2024-10-25,2024-12-24,2024-12-24,7,200.08963012695312,381.6443861764509,92753720.0
3,GRU,2024-10-25,2024-12-24,2024-12-24,7,389.8302307128906,660.9710895720024,5995933.0
