model,MAE,RMSE,MAPE
XGB_w24,157.08926391601562,326.3066042849884,1522740736.0
GRU_w24,205.35882568359375,377.94127768080585,87773416.0
LSTM_w24,254.50851440429688,481.5128340709103,81120944.0
Naive_LastValue,378.74410582613376,707.9962733606038,266862893.91666302
Naive_LastWeek,378.96223406183174,967.5173597209063,3492838259.51211
