model,MAE,RMSE,MAPE
XGB_w168,143.08401489257812,266.3765690943931,543295936.0
LSTM_w168,226.47393798828125,408.1165772484622,86984864.0
GRU_w168,278.2657165527344,520.1389537902348,86615176.0
Naive_LastValue,378.74410582613376,707.9962733606038,266862893.91666302
Naive_LastWeek,378.96223406183174,967.5173597209063,3492838259.51211
